"Site" "Attacked" "Treatment" "X"
"1" 1 1 "A" 33
"8" 8 1 "A" NA
"13" 13 0 "A" NA
"15" 15 0 "A" NA
"20" 20 0 "A" NA
"24" 24 0 "A" NA
"25" 25 1 "A" NA
"26" 26 0 "A" NA
"29" 29 0 "A" NA
"31" 31 0 "A" NA
"32" 32 0 "A" NA
"33" 33 0 "A" NA
"39" 39 1 "A" NA
"48" 48 0 "A" NA
"49" 49 0 "A" NA
"50" 50 0 "A" NA
"61" 61 0 "A" NA
"67" 67 0 "A" NA
"69" 69 0 "A" NA
"71" 71 0 "A" NA
"73" 73 0 "A" NA
"74" 74 0 "A" NA
"91" 91 0 "A" NA
"94" 94 0 "A" NA
"99" 99 0 "A" NA
"101" 1 0 "L" NA
"108" 8 0 "L" NA
"113" 13 0 "L" NA
"115" 15 0 "L" NA
"120" 20 0 "L" NA
"124" 24 0 "L" NA
"125" 25 0 "L" NA
"126" 26 0 "L" NA
"129" 29 0 "L" NA
"131" 31 0 "L" NA
"132" 32 1 "L" NA
"133" 33 0 "L" NA
"139" 39 0 "L" NA
"148" 48 0 "L" NA
"149" 49 0 "L" NA
"150" 50 0 "L" NA
"161" 61 1 "L" NA
"167" 67 0 "L" NA
"169" 69 0 "L" NA
"171" 71 1 "L" NA
"173" 73 1 "L" NA
"174" 74 0 "L" NA
"191" 91 1 "L" NA
"194" 94 0 "L" NA
"199" 99 1 "L" NA
"201" 1 0 "W" NA
"208" 8 0 "W" NA
"213" 13 0 "W" NA
"215" 15 0 "W" NA
"220" 20 1 "W" NA
"224" 24 2 "W" NA
"225" 25 0 "W" NA
"226" 26 0 "W" NA
"229" 29 0 "W" NA
"231" 31 0 "W" NA
"232" 32 1 "W" NA
"233" 33 0 "W" NA
"239" 39 1 "W" NA
"248" 48 1 "W" NA
"249" 49 1 "W" NA
"250" 50 1 "W" NA
"261" 61 0 "W" NA
"267" 67 0 "W" NA
"269" 69 1 "W" NA
"271" 71 0 "W" NA
"273" 73 0 "W" NA
"274" 74 0 "W" NA
"291" 91 0 "W" NA
"294" 94 1 "W" NA
"299" 99 0 "W" NA
"301" 1 0 "J" NA
"308" 8 0 "J" NA
"313" 13 1 "J" NA
"315" 15 1 "J" NA
"320" 20 0 "J" NA
"324" 24 0 "J" NA
"325" 25 0 "J" NA
"326" 26 1 "J" NA
"329" 29 1 "J" NA
"331" 31 1 "J" NA
"332" 32 0 "J" NA
"333" 33 1 "J" NA
"339" 39 1 "J" NA
"348" 48 0 "J" NA
"349" 49 0 "J" NA
"350" 50 0 "J" NA
"361" 61 0 "J" NA
"367" 67 1 "J" NA
"369" 69 0 "J" NA
"371" 71 0 "J" NA
"373" 73 0 "J" NA
"374" 74 1 "J" NA
"391" 91 1 "J" NA
"394" 94 2 "J" NA
"399" 99 1 "J" NA
