Day,Attacked,Model
1,0,A. californica
1,0,A. californica
1,0,A. californica
1,0,A. californica
1,0,A. californica
1,0,A. californica
1,0,A. californica
1,0,A. californica
1,0,A. californica
1,0,A. californica
1,0,A. californica
1,0,A. californica
1,0,A. californica
1,0,A. californica
1,0,A. californica
1,0,A. californica
1,0,A. californica
1,0,A. californica
1,0,A. californica
1,0,A. californica
1,0,A. californica
1,0,A. californica
1,0,A. californica
1,0,A. californica
1,0,A. californica
1,0,A. californica
1,0,A. californica
1,0,A. californica
1,0,A. californica
1,0,A. californica
1,0,A. californica
1,0,A. californica
1,0,A. californica
1,0,A. californica
1,0,A. californica
1,0,A. californica
1,0,A. californica
1,0,A. californica
1,0,A. californica
1,0,A. californica
1,0,A. californica
1,0,A. californica
1,0,A. californica
1,0,A. californica
1,0,A. californica
1,0,A. californica
1,0,A. californica
1,0,A. californica
1,0,A. californica
1,1,A. californica
1,0,A. californica
1,0,A. californica
1,0,A. californica
1,0,A. californica
1,0,A. californica
1,0,A. californica
1,0,A. californica
1,0,A. californica
1,0,A. californica
1,0,A. californica
1,0,A. californica
1,0,A. californica
1,0,A. californica
1,0,A. californica
1,0,A. californica
1,0,A. californica
1,0,A. californica
1,0,A. californica
1,0,A. californica
1,0,A. californica
1,0,A. californica
1,0,A. californica
1,0,A. californica
1,0,A. californica
1,0,A. californica
1,0,A. californica
1,0,A. californica
1,0,A. californica
1,0,A. californica
1,0,A. californica
1,0,A. californica
1,0,A. californica
1,0,A. californica
1,0,A. californica
1,0,A. californica
1,0,A. californica
1,0,A. californica
1,0,A. californica
1,0,A. californica
1,0,A. californica
1,0,A. californica
1,0,A. californica
1,0,A. californica
1,0,A. californica
1,0,A. californica
1,1,A. californica
1,0,A. californica
1,0,A. californica
1,0,A. californica
1,0,A. californica
1,0,A. californica
1,0,A. californica
1,0,A. californica
1,0,A. californica
1,0,A. californica
1,0,A. californica
1,0,A. californica
1,0,A. californica
1,0,A. californica
1,0,A. californica
1,0,A. californica
1,0,A. californica
1,0,A. californica
1,0,A. californica
1,0,A. californica
1,0,A. californica
1,0,A. californica
1,0,A. californica
1,0,A. californica
1,0,A. californica
1,0,A. californica
1,0,A. californica
1,0,A. californica
1,0,A. californica
1,0,A. californica
1,0,A. californica
1,0,A. californica
1,0,A. californica
1,0,A. californica
1,0,A. californica
1,0,A. californica
1,0,A. californica
1,0,A. californica
1,0,A. californica
1,0,A. californica
1,0,A. californica
1,0,A. californica
1,0,A. californica
1,0,A. californica
1,0,A. californica
1,0,A. californica
1,0,A. californica
1,0,A. californica
1,0,A. californica
1,0,A. californica
1,0,A. californica
1,0,A. californica
1,0,A. californica
1,0,A. californica
1,0,A. californica
1,0,A. californica
1,0,A. californica
1,0,A. californica
1,0,A. californica
1,0,A. californica
1,0,A. californica
1,0,A. californica
1,0,A. californica
1,0,A. californica
1,0,A. californica
1,0,A. californica
1,0,A. californica
1,0,A. californica
1,0,A. californica
1,0,A. californica
1,0,A. californica
1,0,A. californica
1,0,A. californica
1,0,A. californica
1,0,A. californica
1,0,A. californica
1,0,A. californica
1,0,A. californica
1,0,A. californica
1,0,A. californica
1,0,A. californica
1,0,A. californica
1,0,A. californica
1,0,A. californica
1,0,A. californica
1,0,A. californica
1,0,A. californica
1,0,A. californica
1,0,A. californica
1,0,A. californica
1,0,A. californica
1,0,A. californica
1,0,A. californica
1,0,A. californica
1,0,A. californica
1,0,A. californica
1,0,A. californica
1,0,A. californica
1,0,A. californica
1,0,A. californica
1,0,A. californica
1,0,A. californica
1,0,A. californica
1,0,A. californica
1,0,A. californica
1,0,A. californica
1,0,A. californica
1,0,A. californica
1,0,A. californica
1,0,A. californica
1,0,A. californica
1,0,A. californica
1,0,A. californica
1,0,A. californica
1,0,A. californica
1,0,A. californica
1,0,A. californica
1,0,A. californica
1,0,A. californica
1,0,A. californica
1,0,A. californica
1,0,A. californica
1,0,A. californica
1,0,A. californica
1,0,A. californica
