Day,Attack,Model
1,0,A
1,0,A
1,0,A
1,0,A
1,0,A
1,0,A
1,0,A
1,0,A
1,0,A
1,0,A
1,0,A
1,0,A
1,0,A
1,0,A
1,0,A
1,0,A
1,0,A
1,0,A
1,0,A
1,0,A
1,0,A
1,0,A
1,0,A
1,0,A
1,0,A
1,0,A
1,0,A
1,0,A
1,0,A
1,0,A
1,0,A
1,0,A
1,0,A
1,0,A
1,0,A
1,0,A
1,0,A
1,0,A
1,0,A
1,0,A
1,0,A
1,0,A
1,0,A
1,0,A
1,0,A
1,0,A
1,0,A
1,0,A
1,0,A
1,0,A
1,0,A
1,0,A
1,0,A
1,0,A
1,0,A
1,0,A
1,0,A
1,0,A
1,0,A
1,0,A
1,0,A
1,0,A
1,0,A
1,0,A
1,0,A
1,0,A
1,0,A
1,0,A
1,0,A
1,0,A
1,0,A
1,0,A
1,0,A
1,0,A
1,0,A
1,0,A
1,0,A
1,0,A
1,0,A
1,0,A
1,0,A
1,0,A
1,0,A
1,0,A
1,0,A
1,0,A
1,0,A
1,0,A
1,0,A
1,0,A
1,0,A
1,0,A
1,0,A
1,0,A
1,0,A
1,0,A
1,0,A
1,0,A
1,0,A
1,0,A
1,0,A
1,0,A
1,0,A
1,0,A
1,0,A
1,0,A
1,0,A
1,0,A
1,0,A
1,0,A
1,0,A
1,0,A
1,0,A
1,0,A
1,0,A
1,0,A
1,0,A
1,0,A
1,0,A
1,0,A
1,0,A
1,0,A
1,0,A
1,0,A
1,0,A
1,0,A
1,0,A
1,0,A
1,0,A
1,0,A
1,0,A
1,0,A
1,0,A
1,0,A
1,0,A
1,0,A
1,0,A
1,0,A
1,0,A
1,0,A
1,0,A
1,0,A
1,0,A
1,0,A
1,0,A
1,0,A
1,0,A
1,0,A
1,0,A
1,0,A
1,0,A
1,0,A
1,0,A
1,0,A
1,0,A
1,0,A
1,0,A
1,0,A
1,0,A
1,0,A
1,0,A
1,0,A
1,0,A
1,0,A
1,0,A
1,0,A
1,0,A
1,0,A
1,0,A
1,0,A
1,0,A
1,0,A
1,0,A
1,0,A
1,0,A
1,0,A
1,0,A
1,0,A
1,0,A
1,0,A
1,0,A
1,0,A
1,0,A
1,0,A
1,0,A
1,0,A
1,0,A
1,0,A
1,0,A
1,0,A
1,0,A
1,0,A
1,0,A
1,0,A
1,0,A
1,0,A
1,0,A
1,0,A
1,0,A
1,0,A
1,0,A
1,0,A
1,0,A
1,0,A
1,0,A
1,0,A
1,0,A
1,0,A
1,0,A
1,0,A
1,0,A
1,0,A
1,0,A
1,0,A
1,0,A
1,0,A
1,0,A
1,0,A
1,0,A
1,0,A
1,0,A
