GROUP ID;TREATMENT;GROUP SIZE;CORAL SPECIES;CORAL SIZE ;TOT. AGGRESSIVE B.;TOT AGGR. BY HET;TOT. AGGRESS. HET;C;CHET;AD;ADHET;B;BHET;R;RHET;TOT. SOCIAL B.;SJ;FO;FR;M;ST;HA;TOT. MAINTENANCE B.;FWC;FB;FC;SH;P;SJ;SC;DA;RT;Y;FR;DK;TOT. REPRODUCTIVE B.;SJ;LS/FS;FA;MO;NP;NC;SCR;PS;TOT SUBMISSIVE B;SD;FL;H;HD
1;B1;5;Stylophora pistillata;942;22;0;8;14;5;0;3;0;0;0;0;4;0;0;4;0;0;0;294;237;0;10;1;2;0;2;7;31;0;4;0;4;0;0;0;0;2;2;0;0;6;0;6;0;0
1;B2 ;5;Stylophora pistillata;942;23;0;15;6;12;0;3;2;0;0;0;6;3;0;3;0;0;0;319;276;0;18;1;2;3;0;5;11;0;3;0;19;3;0;0;0;6;10;0;0;0;0;0;0;0
2;B1;3;Stylophora pistillata;475;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;229;179;1;7;0;1;0;0;7;34;0;0;0;3;0;0;0;0;2;1;0;0;2;0;1;1;0
2;B2 ;4;Stylophora pistillata;475;18;1;2;12;1;0;1;4;0;0;0;0;0;0;0;0;0;0;242;212;1;3;1;3;0;0;6;16;0;0;0;0;0;0;0;0;0;0;0;0;3;0;2;1;0
3;B1;4;Acropora loripes;427;33;1;3;29;2;1;1;0;0;0;0;4;4;0;0;0;0;0;502;455;5;4;0;0;4;0;7;27;0;0;0;5;4;0;0;0;0;1;0;0;0;0;0;0;0
3;B2 ;5;Acropora loripes;427;7;1;1;5;1;0;0;0;0;0;0;0;0;0;0;0;0;0;304;236;2;14;0;1;0;0;10;41;0;0;0;50;0;0;0;0;28;22;0;0;2;0;0;2;0
4;B1;5;Stylophora pistillata;402;24;3;3;21;3;0;0;0;0;0;0;1;0;0;1;0;0;0;536;509;2;15;0;1;0;0;6;3;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0
4;B2 ;5;Stylophora pistillata;402;29;0;4;25;4;0;0;0;0;0;0;0;0;0;0;0;0;0;618;567;7;26;0;2;0;0;9;1;0;1;5;0;0;0;0;0;0;0;0;0;1;0;0;1;0
5;B1;4;Acropora formosa ;2226;8;0;6;2;6;0;0;0;0;0;0;21;21;0;0;0;0;0;631;600;1;0;0;1;21;0;3;1;0;0;4;26;21;0;0;0;2;1;0;2;1;0;0;1;0
5;B2 ;4;Acropora formosa ;2226;16;0;9;7;9;0;0;0;0;0;0;6;5;0;1;0;0;0;454;439;0;0;0;0;5;0;5;4;0;1;0;26;5;0;0;0;11;6;0;4;1;0;0;1;0
6;B1;5;Echinopora mammiformis;2757;19;0;8;11;5;0;3;0;0;0;0;6;5;0;0;0;0;1;500;449;13;9;0;5;5;0;4;15;0;0;0;10;5;0;0;0;3;2;0;0;0;0;0;0;0
